Tile,Temp,Init_date,Final_date,Init_operc,Final_operc,Final_gon_mass,Final_som_mass,Final_tot_mass
10,11.5,7/19/11,8/25/11,1.336,2.652,0.002,0.0036,0.0056
4,11.5,7/19/11,8/25/11,1.335,2.779,0.002,0.0049,0.0069
8,14,7/19/11,8/25/11,1.937,3.976,0.0037,0.0086,0.0123
13,14,7/19/11,8/25/11,1.354,3.556,0.0029,0.005,0.0079
